trade_date,change验证差值,pct_chg验证差值,"high>=max(open,close)","low<=min(open,close)"
20250704,0.0,0.0,通过,通过
20250707,0.0,0.0,通过,通过
20250708,0.0,0.0,通过,通过
20250709,0.0,0.0,通过,通过
20250710,0.0,0.0,通过,通过
20250711,0.0,0.0,通过,通过
20250714,0.0,0.0,通过,通过
20250715,0.0,0.0,通过,通过
20250716,0.0,0.0,通过,通过
20250717,0.0,0.0,通过,通过
20250718,0.0,0.0,通过,通过
20250721,0.0,0.0,通过,通过
20250722,0.0,0.0,通过,通过
20250723,0.0,0.0,通过,通过
20250724,0.0,0.0,通过,通过
20250725,0.0,0.0,通过,通过
20250728,0.0,0.0,通过,通过
20250729,0.0,0.0,通过,通过
20250730,0.0,0.0,通过,通过
20250731,0.0,0.0,通过,通过
20250801,0.0,0.0,通过,通过
20250804,0.0,0.0,通过,通过
20250805,0.0,0.0,通过,通过
20250806,0.0,0.0,通过,通过
20250807,0.0,0.0,通过,通过
20250808,0.0,0.0,通过,通过
20250811,0.0,0.0,通过,通过
20250812,0.0,0.0,通过,通过
20250813,0.0,0.0,通过,通过
20250814,0.0,0.0,通过,通过
20250815,0.0,0.0,通过,通过
20250818,0.0,0.0,通过,通过
20250819,0.0,0.0,通过,通过
20250820,0.0,0.0,通过,通过
20250821,0.0,0.0,通过,通过
20250822,0.0,0.0,通过,通过
20250825,0.0,0.0,通过,通过
20250826,0.0,0.0,通过,通过
20250827,0.0,0.0,通过,通过
20250828,0.0,0.0,通过,通过
20250829,0.0,0.0,通过,通过
20250901,0.0,0.0,通过,通过
20250902,0.0,0.0,通过,通过
20250903,0.0,0.0,通过,通过
20250904,0.0,0.0,通过,通过
20250905,0.0,0.0,通过,通过
20250908,0.0,0.0,通过,通过
20250909,0.0,0.0,通过,通过
20250910,0.0,0.0,通过,通过
20250911,0.0,0.0,通过,通过
20250912,0.0,0.0,通过,通过
20250915,0.0,0.0,通过,通过
20250916,0.0,0.0,通过,通过
20250917,0.0,0.0,通过,通过
20250918,0.0,0.0,通过,通过
20250919,0.0,0.0,通过,通过
20250922,0.0,0.0,通过,通过
20250923,0.0,0.0,通过,通过
20250924,0.0,0.0,通过,通过
20250925,0.0,0.0,通过,通过
20250926,0.0,0.0,通过,通过
20250929,0.0,0.0,通过,通过
20250930,0.0,0.0,通过,通过
20251009,0.0,0.0,通过,通过
20251010,0.0,0.0,通过,通过
20251013,0.0,0.0,通过,通过
20251014,0.0,0.0,通过,通过
20251015,0.0,0.0,通过,通过
20251016,0.0,0.0,通过,通过
20251017,0.0,0.0,通过,通过
20251020,0.0,0.0,通过,通过
20251021,0.0,0.0,通过,通过
20251022,0.0,0.0,通过,通过
20251023,0.0,0.0,通过,通过
20251024,0.0,0.0,通过,通过
20251027,0.0,0.0,通过,通过
20251028,0.0,0.0,通过,通过
20251029,0.0,0.0,通过,通过
20251030,0.0,0.0,通过,通过
20251031,0.0,0.0,通过,通过
20251103,0.0,0.0,通过,通过
20251104,0.0,0.0,通过,通过
20251105,0.0,0.0,通过,通过
20251106,0.0,0.0,通过,通过
20251107,0.0,0.0,通过,通过
20251110,0.0,0.0,通过,通过
20251111,0.0,0.0,通过,通过
20251112,0.0,0.0,通过,通过
20251113,0.0,0.0,通过,通过
20251114,0.0,0.0,通过,通过
20251117,0.0,0.0,通过,通过
20251118,0.0,0.0,通过,通过
20251119,0.0,0.0,通过,通过
20251120,0.0,0.0,通过,通过
20251121,0.0,0.0,通过,通过
20251124,0.0,0.0,通过,通过
20251125,0.0,0.0,通过,通过
20251126,0.0,0.0,通过,通过
20251127,0.0,0.0,通过,通过
20251128,0.0,0.0,通过,通过
20251201,0.0,0.0,通过,通过
20251202,0.0,0.0,通过,通过
20251203,0.0,0.0,通过,通过
20251204,0.0,0.0,通过,通过
20251205,0.0,0.0,通过,通过
20251208,0.0,0.0,通过,通过
20251209,0.0,0.0,通过,通过
20251210,0.0,0.0,通过,通过
20251211,0.0,0.0,通过,通过
20251212,0.0,0.0,通过,通过
20251215,0.0,0.0,通过,通过
20251216,0.0,0.0,通过,通过
20251217,0.0,0.0,通过,通过
20251218,0.0,0.0,通过,通过
20251219,0.0,0.0,通过,通过
20251222,0.0,0.0,通过,通过
20251223,0.0,0.0,通过,通过
20251224,0.0,0.0,通过,通过
20251225,0.0,0.0,通过,通过
20251226,0.0,0.0,通过,通过
20251229,0.0,0.0,通过,通过
20251230,0.0,0.0,通过,通过
20251231,0.0,0.0,通过,通过
20260105,0.0,0.0,通过,通过
20260106,0.0,0.0,通过,通过
20260107,0.0,0.0,通过,通过
20260108,0.0,0.0,通过,通过
20260109,0.0,0.0,通过,通过
20260112,0.0,0.0,通过,通过
20260113,0.0,0.0,通过,通过
20260114,0.0,0.0,通过,通过
20260115,0.0,0.0,通过,通过
20260116,0.0,0.0,通过,通过
20260119,0.0,0.0,通过,通过
20260120,0.0,0.0,通过,通过
20260121,0.0,0.0,通过,通过
20260122,0.0,0.0,通过,通过
20260123,0.0,0.0,通过,通过
20260126,0.0,0.0,通过,通过
20260127,0.0,0.0,通过,通过
20260128,0.0,0.0,通过,通过
20260129,0.0,0.0,通过,通过
20260130,0.0,0.0,通过,通过
20260202,0.0,0.0,通过,通过
20260203,0.0,0.0,通过,通过
20260204,0.0,0.0,通过,通过
20260205,0.0,0.0,通过,通过
20260206,0.0,0.0,通过,通过
20260209,0.0,0.0,通过,通过
20260210,0.0,0.0,通过,通过
20260211,0.0,0.0,通过,通过
20260212,0.0,0.0,通过,通过
20260213,0.0,0.0,通过,通过
20260224,0.0,0.0,通过,通过
20260225,0.0,0.0,通过,通过
20260226,0.0,0.0,通过,通过
20260227,0.0,0.0,通过,通过
20260302,0.0,0.0,通过,通过
20260303,0.0,0.0,通过,通过
20260304,0.0,0.0,通过,通过
20260305,0.0,0.0,通过,通过
20260306,0.0,0.0,通过,通过
20260309,0.0,0.0,通过,通过
20260310,0.0,0.0,通过,通过
20260311,0.0,0.0,通过,通过
20260312,0.0,0.0,通过,通过
20260313,0.0,0.0,通过,通过
20260316,0.0,0.0,通过,通过
20260317,0.0,0.0,通过,通过
20260318,0.0,0.0,通过,通过
20260319,0.0,0.0,通过,通过
20260320,0.0,0.0,通过,通过
20260323,0.0,0.0,通过,通过
20260324,0.0,0.0,通过,通过
20260325,0.0,0.0,通过,通过
20260326,0.0,0.0,通过,通过
20260327,0.0,0.0,通过,通过
20260330,0.0,0.0,通过,通过
20260331,0.0,0.0,通过,通过
20260401,0.0,0.0,通过,通过
20260402,0.0,0.0,通过,通过
20260403,0.0,0.0,通过,通过
20260407,0.0,0.0,通过,通过
20260408,0.0,0.0,通过,通过
20260409,0.0,0.0,通过,通过
20260410,0.0,0.0,通过,通过
20260413,0.0,0.0,通过,通过
20260414,0.0,0.0,通过,通过
20260415,0.0,0.0,通过,通过
20260416,0.0,0.0,通过,通过
20260417,0.0,0.0,通过,通过
20260420,0.0,0.0,通过,通过
20260421,0.0,0.0,通过,通过
20260422,0.0,0.0,通过,通过
20260423,0.0,0.0,通过,通过
20260424,0.0,0.0,通过,通过
20260427,0.0,0.0,通过,通过
20260428,0.0,0.0,通过,通过
20260429,0.0,0.0,通过,通过
20260430,0.0,0.0,通过,通过
20260506,0.0,0.0,通过,通过
20260507,0.0,0.0,通过,通过
20260508,0.0,0.0,通过,通过
20260511,0.0,0.0,通过,通过
20260512,0.0,0.0,通过,通过
20260513,0.0,0.0,通过,通过
20260514,0.0,0.0,通过,通过
20260515,0.0,0.0,通过,通过
20260518,0.0,0.0,通过,通过
20260519,0.0,0.0,通过,通过
20260520,0.0,0.0,通过,通过
20260521,0.0,0.0,通过,通过
20260522,0.0,0.0,通过,通过
20260525,0.0,0.0,通过,通过
20260526,0.0,0.0,通过,通过
20260527,0.0,0.0,通过,通过
20260528,0.0,0.0,通过,通过
20260529,0.0,0.0,通过,通过
20260601,0.0,0.0,通过,通过
20260602,0.0,0.0,通过,通过
20260603,0.0,0.0,通过,通过
20260604,0.0,0.0,通过,通过
20260605,0.0,0.0,通过,通过
20260608,0.0,0.0,通过,通过
20260609,0.0,0.0,通过,通过
20260610,0.0,0.0,通过,通过
20260611,0.0,0.0,通过,通过
20260612,0.0,0.0,通过,通过
20260615,0.0,0.0,通过,通过
20260616,0.0,0.0,通过,通过
20260617,0.0,0.0,通过,通过
20260618,0.0,0.0,通过,通过
20260622,0.0,0.0,通过,通过
20260623,0.0,0.0,通过,通过
20260624,0.0,0.0,通过,通过
20260625,0.0,0.0,通过,通过
20260626,0.0,0.0,通过,通过
20260629,0.0,0.0,通过,通过
20260630,0.0,0.0,通过,通过
20260701,0.0,0.0,通过,通过
20260702,0.0,0.0,通过,通过
20260703,0.0,0.0,通过,通过
