industry,stock_count,avg_total_return,avg_annualized_return,avg_sharpe_ratio,avg_max_drawdown,avg_win_rate,avg_pl_ratio,sample_count
游戏,1,1.7646,0.2761,0.8076,0.4373,0.4383,4.3434,8
黄金矿业,1,0.8146,0.1576,0.5702,0.3487,0.5247,129.0582,8
半导体制造,1,0.7574,0.1463,0.4896,0.3925,0.3604,2.4421,8
互联网,1,0.8724,0.1483,0.4725,0.6431,0.3925,2.5606,8
铜,1,0.6836,0.1283,0.4641,0.4201,0.4016,4.0337,8
半导体,3,0.2695,0.5942,0.4272,0.4740,0.3725,92.0126,22
石油,1,0.3273,0.0711,0.3100,0.3344,0.4422,127.9780,8
半导体设备,1,0.3053,0.0579,0.2410,0.3864,0.4552,1.2635,8
电子制造,1,0.3038,0.0498,0.2378,0.4330,0.3134,2.1816,8
热管理,1,0.3764,0.0587,0.2253,0.4596,0.3192,2.4157,8
光伏逆变器,1,0.2213,0.0298,0.1921,0.5805,0.2933,2.1790,8
互联网券商,1,0.2142,0.0304,0.1603,0.3985,0.3759,2.4405,8
锂矿,2,0.0962,0.0160,0.1493,0.5729,0.2353,2.6952,14
液压件,1,0.0891,0.0191,0.1483,0.3906,0.4338,1.6903,7
通信设备,1,0.0997,0.0156,0.1465,0.4087,0.4008,1.7512,8
钴镍,1,0.0303,0.0025,0.0960,0.5181,0.4150,126.8915,8
AI语音,1,0.0893,0.0061,0.0946,0.4913,0.3201,1.4747,8
券商,4,0.1067,0.0175,0.0726,0.2916,0.3596,33.7323,32
超市,1,-0.0321,-0.0105,0.0686,0.5003,0.2931,2.8797,8
通信运营,2,0.0948,0.0127,0.0548,0.3638,0.4364,189.6420,16
化学制药,1,0.0994,0.0108,0.0539,0.3676,0.3863,1.5715,8
化肥,1,0.0425,-0.0047,0.0433,0.4443,0.3614,2.0132,7
银行,8,0.1101,0.0215,0.0425,0.2466,0.4414,95.8921,64
核电,2,0.0403,0.0076,0.0104,0.3319,0.5050,251.4447,16
锂电池,2,-0.0647,-0.0266,0.0047,0.4949,0.3777,64.1976,16
保险,3,-0.0162,-0.0062,-0.0136,0.3439,0.4123,43.2953,24
金融IT,1,-0.0226,-0.0206,-0.0195,0.4776,0.3680,1.3032,8
航空发动机,1,-0.0829,-0.0266,-0.0683,0.3846,0.3126,1.2720,8
工业自动化,1,-0.0524,-0.0267,-0.1054,0.3835,0.3855,1.2277,8
啤酒,1,-0.0532,-0.0239,-0.1146,0.3739,0.3922,1.8131,8
煤炭,1,-0.0885,-0.0240,-0.1218,0.3124,0.4185,1.3709,8
水电,1,0.0138,0.0030,-0.1353,0.2137,0.3324,2.2342,8
光伏硅料,1,-0.1080,-0.0354,-0.1396,0.4596,0.2708,1.7620,8
工程机械,1,-0.1275,-0.0391,-0.1600,0.3136,0.3812,1.1363,8
MDI,1,-0.1040,-0.0307,-0.1674,0.3224,0.3051,1.1542,8
新能源汽车,1,-0.2363,-0.0813,-0.1800,0.4742,0.3148,1.4953,8
石化,2,-0.1366,-0.0453,-0.2175,0.3866,0.2623,1.8715,15
企业软件,1,-0.2469,-0.0827,-0.2258,0.5310,0.2867,126.1204,8
汽车,3,-0.1476,-0.0482,-0.2539,0.4197,0.2639,1.3395,24
家电,3,-0.1408,-0.0389,-0.2561,0.3140,0.3244,1.8581,24
港口,1,-0.1089,-0.0282,-0.2708,0.2862,0.2322,1.6534,8
中药保健品,1,-0.0852,-0.0441,-0.2860,0.2811,0.2195,0.9413,8
战斗机,1,-0.2734,-0.0852,-0.2885,0.4652,0.4377,125.9059,8
基建,2,-0.2041,-0.0580,-0.2940,0.4430,0.2301,1.9112,16
光伏组件,1,-0.3935,-0.1324,-0.3760,0.5599,0.2630,1.0192,8
环保,1,-0.2984,-0.0898,-0.3928,0.5040,0.2696,1.1932,8
生猪养殖,1,-0.2329,-0.0664,-0.3951,0.4033,0.2718,1.8098,8
CIS芯片,1,-0.3453,-0.1035,-0.4352,0.4684,0.2500,1.2491,8
安防,1,-0.2926,-0.0827,-0.4372,0.4813,0.2899,0.6990,8
小家电,1,-0.2521,-0.0720,-0.4460,0.3779,0.2736,0.9670,8
医药流通,1,-0.2424,-0.0712,-0.4494,0.4150,0.2460,1.6511,8
物流,1,-0.2556,-0.0734,-0.5070,0.3900,0.2331,0.9003,8
医药,1,-0.3180,-0.0916,-0.5348,0.4121,0.1987,0.9507,8
白酒,5,-0.2599,-0.0785,-0.5500,0.4123,0.2177,1.2977,40
畜禽养殖,1,-0.3157,-0.0929,-0.5516,0.4351,0.2644,0.7244,8
钢铁,1,-0.3029,-0.0872,-0.5666,0.3805,0.2073,0.7230,8
光伏,1,-0.4288,-0.1359,-0.5751,0.5203,0.2432,0.6254,8
造纸,1,-0.3644,-0.1085,-0.6060,0.4168,0.2100,0.7915,8
军工连接器,1,-0.4954,-0.1676,-0.6610,0.5857,0.3218,125.3195,8
航空,2,-0.3809,-0.1192,-0.6746,0.4929,0.2247,0.8350,16
生物制品,1,-0.3493,-0.1010,-0.6832,0.4662,0.2043,1.1818,8
中药,1,-0.2486,-0.0698,-0.6903,0.3077,0.2780,0.6458,8
水电建设,1,-0.4244,-0.1337,-0.7185,0.5147,0.1830,1.0997,8
房地产,3,-0.4549,-0.1456,-0.8489,0.5262,0.1558,0.7286,24
乳制品,1,-0.3335,-0.0951,-0.8562,0.3607,0.1611,0.7529,8
建材,1,-0.3536,-0.1066,-0.8590,0.4027,0.1685,0.5758,8
机场,1,-0.3437,-0.0997,-0.8744,0.3909,0.1238,0.5009,8
医疗器械,1,-0.4479,-0.1377,-1.2598,0.4589,0.0875,0.3663,8
